Index,Activation,Epochs,Learning Rate,MSE Training Data,MSE Testing data
124,sigmoid,67,0.004,16.923440187646598,3.9280994057606433
125,sigmoid,67,0.005,16.923440187646595,3.928099405749095
126,sigmoid,67,0.006,16.9234401876466,3.9280994057490908
127,sigmoid,67,0.007,16.9234401876466,3.9280994057490908
128,sigmoid,67,0.008,16.9234401876466,3.9280994057490908
129,sigmoid,67,0.009000000000000001,16.923440187646595,3.9280994057490917
130,sigmoid,67,0.010000000000000002,16.9234401876466,3.9280994057490908
131,sigmoid,53,0.001,16.930258854641895,3.946565141959211
132,sigmoid,53,0.002,16.92344070168873,3.9282450523887773
133,sigmoid,53,0.003,16.923440187661768,3.9281001955524997
134,sigmoid,53,0.004,16.923440187646598,3.928099408171229
135,sigmoid,53,0.005,16.923440187646577,3.928099405752738
136,sigmoid,53,0.006,16.923440187646573,3.928099405749094
137,sigmoid,53,0.007,16.9234401876466,3.9280994057490908
138,sigmoid,53,0.008,16.9234401876466,3.9280994057490908
139,sigmoid,53,0.009000000000000001,16.9234401876466,3.9280994057490908
140,sigmoid,53,0.010000000000000002,16.9234401876466,3.9280994057490908
141,sigmoid,42,0.001,16.965242344049653,3.980055124474606
142,sigmoid,42,0.002,16.92346319854371,3.9290787711753024
143,sigmoid,42,0.003,16.92344019364042,3.928115120613951
144,sigmoid,42,0.004,16.92344018764723,3.9280995672917447
145,sigmoid,42,0.005,16.9234401876466,3.928099406695852
146,sigmoid,42,0.006,16.923440187646584,3.928099405751792
147,sigmoid,42,0.007,16.923440187646595,3.928099405749095
148,sigmoid,42,0.008,16.9234401876466,3.9280994057490908
149,sigmoid,42,0.009000000000000001,16.9234401876466,3.9280994057490908
150,sigmoid,42,0.010000000000000002,16.9234401876466,3.9280994057490908
151,sigmoid,33,0.001,17.10650994562197,4.060743816449218
152,sigmoid,33,0.002,16.923955910255188,3.932837637012519
153,sigmoid,33,0.003,16.923440987331418,3.928281105928691
154,sigmoid,33,0.004,16.9234401882584,3.928104426114346
155,sigmoid,33,0.005,16.923440187646776,3.9280994952171966
156,sigmoid,33,0.006,16.923440187646573,3.9280994066571515
157,sigmoid,33,0.007,16.923440187646616,3.928099405753458
158,sigmoid,33,0.008,16.923440187646605,3.928099405749098
159,sigmoid,33,0.009000000000000001,16.9234401876466,3.9280994057490908
